anio,tipo_ingreso,region,ingreso_nominal,ingreso_real_nov2024,error_estandar_nominal,error_estandar_real
2013,Ingreso del trabajo,Los Lagos,520037.8734672669,859102.5669679254,25407.20584936217,41972.70406314628
2015,Ingreso del trabajo,Los Lagos,551094.2440843967,828845.7431029336,17436.7693886462,26224.901160523877
2017,Ingreso del trabajo,Los Lagos,673634.2846814108,965317.929948463,34673.46267891103,49687.0720188795
2020,Ingreso del trabajo,Los Lagos,689178.652913206,909715.8218454324,65723.39323420361,86754.8790691488
2022,Ingreso del trabajo,Los Lagos,831758.6305338949,908280.4245430127,24119.364379324805,26338.345902222707
2024,Ingreso del trabajo,Los Lagos,1000084.313380261,1000084.313380261,24213.448567869254,24213.448567869254
2006,Ingreso del trabajo,Aysén,371579.3537801646,782174.5397072469,18162.899047402214,38232.902494781665
2009,Ingreso del trabajo,Aysén,522047.42970624473,961089.3180891962,71949.51837921335,132459.06333613177
2011,Ingreso del trabajo,Aysén,620256.9537099443,1071183.7590570732,35528.53688231187,61357.78319575262
2013,Ingreso del trabajo,Aysén,673160.9483293451,1112061.8866400775,24274.188855173506,40100.95998874665
2015,Ingreso del trabajo,Aysén,801831.4771113419,1205954.5415754574,35436.34802454955,53296.26742892254
2017,Ingreso del trabajo,Aysén,975865.3626624423,1398415.0646952793,58638.85774627534,84029.48315041255
2020,Ingreso del trabajo,Aysén,877719.6188294666,1158589.8968548947,42134.375003743946,55617.375004942034
2022,Ingreso del trabajo,Aysén,1123530.9785871964,1226895.8286172189,49180.70231088503,53705.32692348646
2024,Ingreso del trabajo,Aysén,1309670.5901598514,1309670.5901598514,57255.33349877658,57255.33349877658
2006,Ingreso del trabajo,Magallanes,504163.9310953692,1061265.0749557521,51841.60623082247,109126.58111588133
2009,Ingreso del trabajo,Magallanes,545414.4311419918,1004107.9677324079,77875.04636364183,143367.96035546466
2011,Ingreso del trabajo,Magallanes,621927.4789194225,1074068.7560938434,45173.66696108103,78014.92284178692
